episode,chosen_zone,chose_optimal,chose_left,angle_diff_chosen,angle_diff_other,d_chosen_to_goal,d_other_to_goal
1,blue_zone0,True,False,85.26677666064926,274.73322246896106,1.0116107257715137,3.0822646075591282
2,blue_zone1,False,False,74.76963877783429,74.76963847828266,3.36531518941729,1.0625864540040786
3,blue_zone0,True,True,71.77120940428962,71.77120959839867,1.4178074613518687,3.637812456165515
4,blue_zone0,True,True,54.015382401580325,305.9846175607211,1.2597327287365998,3.0785761659305284
5,blue_zone1,False,True,85.35253448847081,85.3525343433337,2.9317110263733377,1.1559499515925455
6,blue_zone1,False,False,58.86954789397826,301.13045205866297,3.0860009850000125,1.252500673727992
7,blue_zone1,False,True,89.85343923716087,89.85342516421869,3.674195074047258,1.0034249136331943
8,blue_zone0,True,True,291.2788949011761,68.72110492514788,1.247392352223714,3.2183612164650066
9,blue_zone0,True,True,301.13833947776016,58.861660335733845,1.3413315123756233,3.2168973230399094
10,blue_zone0,True,False,65.4220237859798,294.57797651708506,1.142775876641146,3.0426373993135702
11,blue_zone1,False,False,79.2940639546973,79.294063474746,3.0005869895575015,1.0837653866880137
12,blue_zone0,True,True,272.30654085525225,87.69346066700354,1.3705886809287788,3.0366811038213037
13,blue_zone0,True,True,292.2975878888686,67.7024118999681,1.025995204259772,3.2045822257342595
14,blue_zone0,True,True,299.9978565913567,60.002143397988526,1.1111685371961613,2.899202220392798
15,blue_zone0,True,False,63.326780806731,63.32678104528037,1.3019876972010447,3.0341790762564536
16,blue_zone0,True,False,76.23294658510233,283.76705355393466,1.2689102306845754,3.4614243638718323
17,blue_zone0,True,False,67.14235555579343,67.14235519946634,1.0949173590276047,3.038874732601769
18,blue_zone0,True,False,83.78362460433276,83.7836247890832,1.0192424768923964,3.1657079743764793
19,blue_zone0,True,False,53.51472661361289,306.4852733299084,1.2056082226969331,3.384650913761261
20,blue_zone1,False,True,276.27502591024415,83.72497391255884,3.1477297438431986,1.4657507652206407
21,blue_zone0,True,False,78.81949203786505,78.81949251580605,1.0388842441710575,3.1378199242958886
22,blue_zone1,False,True,81.02663760017242,81.0266378094258,3.2795753376522354,1.0853316927563619
23,blue_zone1,False,False,62.47881346839457,62.47881349342238,2.8820483360444804,1.1108968540439013
24,blue_zone0,True,True,69.60230825675706,69.60230801498915,1.2028785789885847,3.2423413748399437
25,blue_zone0,True,False,67.92296198930065,67.92296207779374,1.3024112614500718,3.044007534028028
26,blue_zone1,False,True,75.39961222135409,75.39961226304047,3.7038530800093414,1.3531708982393083
27,blue_zone1,False,True,80.36447092030626,279.63552880864347,3.39237712727118,1.1129841405680667
28,blue_zone1,False,False,61.419580616964225,298.58041951529367,3.374451461086805,1.371345651418406
30,blue_zone1,False,False,84.12370226565356,275.8762971208019,3.160776429743383,1.3190920207778765
32,blue_zone1,False,True,89.1136138221724,89.11360912063533,3.078866236476816,1.0333642136056471
33,blue_zone0,True,False,74.16997725243209,74.1699772970735,1.0223187430177485,3.5917665825949485
34,blue_zone1,False,False,89.16051636135163,89.16051685629077,2.856352258397622,1.1610070526953173
35,blue_zone0,True,True,79.32201622306977,79.32201632204746,1.1111646346376203,3.080221257250549
36,blue_zone1,False,True,306.125852437777,53.874147656303734,2.9384572133924514,1.0975361795051415
37,blue_zone0,True,True,280.3030702873331,79.69692998906328,1.0255966472328046,3.6375700947130505
38,blue_zone1,False,True,80.97933493649757,80.97933441320086,3.4371801617883215,1.4176100056621768
39,blue_zone1,False,True,273.602492490763,86.39750918713281,3.6955415453664737,1.3317512027244058
40,blue_zone1,False,True,82.98315581490817,277.0168441805291,3.2563759879104093,1.3738877080388878
41,blue_zone1,False,False,70.78235310920131,70.78235306960082,3.069499538721069,1.1386405064243308
43,blue_zone1,False,False,83.39517990776835,276.6048196228848,3.31365566280585,1.0564346488081837
44,blue_zone1,False,True,271.55127591412503,88.44871886417064,3.3588801774686154,1.1808352594971019
45,blue_zone0,True,True,274.59641744267424,85.40358138820642,1.1977867861866645,3.3486279280953544
46,blue_zone0,True,True,272.5950651233034,87.40493337693027,1.0756301143931806,3.624477532818645
47,blue_zone0,True,False,89.28483112860391,89.28482113433485,1.0550663269167337,3.023878485156506
48,blue_zone1,False,True,270.3790346069593,89.62098645304394,3.4095198772830373,1.3263970990778977
49,blue_zone0,True,True,86.5612959345104,86.5612963228596,1.3895069829675257,3.3989807683493014
50,blue_zone1,False,False,71.02576524923468,288.9742351706007,3.068907227018233,1.2481546805825579
51,blue_zone1,False,False,72.59810245637077,72.5981024141836,3.2899323972151264,1.0397600117428967
52,blue_zone1,False,False,81.67143740804914,81.67143671566706,3.3626464980745507,1.371724889800616
53,blue_zone0,True,False,87.57712782692407,87.57712520121181,1.215487142984681,3.446019375787051
54,blue_zone0,True,True,84.44660265923955,84.44660274584656,1.277582302162548,3.515322933140939
55,blue_zone0,True,True,307.0160709232045,52.98392901151382,1.4715167945767165,3.2613298026301623
56,blue_zone1,False,False,82.00715259632794,82.00715242246662,3.5044937201633064,1.2733500639640825
57,blue_zone0,True,False,66.01394577976505,66.01394598143676,1.0791247884338835,2.9510473666448007
58,blue_zone0,True,True,69.16394302270979,69.16394326219168,1.4732438760941886,3.2832083071245126
