episode,chosen_zone,chose_optimal,chose_left,angle_diff_chosen,angle_diff_other,d_chosen_to_goal,d_other_to_goal
0,blue_zone0,True,True,81.57008180525442,81.5700823719485,1.2490043915532092,3.0599820506803956
1,blue_zone0,True,False,85.26677666064926,274.73322246896106,1.0116107257715137,3.0822646075591282
2,blue_zone1,False,False,74.76963877783429,74.76963847828266,3.36531518941729,1.0625864540040786
3,blue_zone1,False,False,71.77120959839867,71.77120940428962,3.637812456165515,1.4178074613518687
4,blue_zone0,True,True,54.015382401580325,305.9846175607211,1.2597327287365998,3.0785761659305284
5,blue_zone1,False,True,85.35253448847081,85.3525343433337,2.9317110263733377,1.1559499515925455
6,blue_zone1,False,False,58.86954789397826,301.13045205866297,3.0860009850000125,1.252500673727992
7,blue_zone0,True,False,89.85342516421869,89.85343923716087,1.0034249136331943,3.674195074047258
8,blue_zone0,True,True,291.2788949011761,68.72110492514788,1.247392352223714,3.2183612164650066
9,blue_zone0,True,True,301.13833947776016,58.861660335733845,1.3413315123756233,3.2168973230399094
10,blue_zone0,True,False,65.4220237859798,294.57797651708506,1.142775876641146,3.0426373993135702
11,blue_zone1,False,False,79.2940639546973,79.294063474746,3.0005869895575015,1.0837653866880137
12,blue_zone0,True,True,272.30654085525225,87.69346066700354,1.3705886809287788,3.0366811038213037
13,blue_zone0,True,True,292.2975878888686,67.7024118999681,1.025995204259772,3.2045822257342595
14,blue_zone0,True,True,299.9978565913567,60.002143397988526,1.1111685371961613,2.899202220392798
15,blue_zone1,False,True,63.32678104528037,63.326780806731,3.0341790762564536,1.3019876972010447
16,blue_zone1,False,True,283.76705355393466,76.23294658510233,3.4614243638718323,1.2689102306845754
17,blue_zone1,False,True,67.14235519946634,67.14235555579343,3.038874732601769,1.0949173590276047
18,blue_zone0,True,False,83.78362460433276,83.7836247890832,1.0192424768923964,3.1657079743764793
19,blue_zone1,False,True,306.4852733299084,53.51472661361289,3.384650913761261,1.2056082226969331
20,blue_zone1,False,True,276.27502591024415,83.72497391255884,3.1477297438431986,1.4657507652206407
21,blue_zone1,False,True,78.81949251580605,78.81949203786505,3.1378199242958886,1.0388842441710575
22,blue_zone0,True,False,81.0266378094258,81.02663760017242,1.0853316927563619,3.2795753376522354
23,blue_zone0,True,False,62.47881349342238,62.47881346839457,1.1108968540439013,2.8820483360444804
24,blue_zone1,False,False,69.60230801498915,69.60230825675706,3.2423413748399437,1.2028785789885847
25,blue_zone1,False,False,67.92296207779374,67.92296198930065,3.044007534028028,1.3024112614500718
26,blue_zone0,True,False,75.39961226304047,75.39961222135409,1.3531708982393083,3.7038530800093414
27,blue_zone1,False,True,80.36447092030626,279.63552880864347,3.39237712727118,1.1129841405680667
28,blue_zone1,False,False,61.419580616964225,298.58041951529367,3.374451461086805,1.371345651418406
29,blue_zone0,True,False,71.75856468138058,71.75856477971092,1.0034374899329312,3.341423458496643
30,blue_zone0,True,True,275.8762971208019,84.12370226565356,1.3190920207778765,3.160776429743383
31,blue_zone1,False,False,88.08098133746157,271.91901742702476,3.3465504404011863,1.0768902860327265
32,blue_zone0,True,False,89.11360912063533,89.1136138221724,1.0333642136056471,3.078866236476816
